date,aapl.us,adbe.us,amat.us,amd.us,amzn.us,googl.us,intc.us,meta.us,msft.us,mu.us
2024-01-02,0.1734033,-0.10222805,0.0636153,-0.025518775,0.11522703,-0.030797273,0.07045678,0.082259245,-0.022786058,-0.12242441
2024-01-03,-0.020868205,0.06557613,0.18168634,-0.011071727,0.019243792,-0.0922167,0.030777551,-0.02900263,0.025150627,-0.02542466
2024-01-04,-0.04080213,0.05811458,0.2153658,-0.09685148,-0.015105188,-0.13352332,0.08056772,-0.07074437,0.026282683,0.01892589
2024-01-05,0.110015325,0.077487804,0.066251405,-0.12718219,-0.003563553,0.0010208338,-0.018316194,-0.062486902,0.039173212,0.037283942
2024-01-08,0.039561324,0.19555771,0.07154229,-0.038348824,0.0071548074,0.003315404,-0.076658174,-0.11402006,0.017346788,0.05043523
2024-01-09,0.14385535,0.04971903,0.045185715,-0.061588854,0.07967964,0.0718534,-0.05078703,0.021670602,-0.00095859356,-0.103969485
2024-01-10,0.058945484,0.028113239,0.088522665,0.009421587,0.1335778,0.037308052,-0.042446285,0.019723482,-0.023694888,-0.14851518
2024-01-11,0.041078754,0.11910442,0.14856783,-0.016075581,0.010460287,-0.05302854,-0.013426095,-0.08023881,0.08507424,-0.023614138
2024-01-12,0.102303855,-0.022420146,0.017881617,0.15391323,0.045932114,-0.03113614,0.0025057644,0.043418176,-0.025997631,-0.08391696
2024-01-16,0.048036344,0.054055773,0.13206333,-0.024512053,0.03425494,-0.09542228,0.038922623,-0.05500842,0.08061268,-0.041489154
2024-01-17,0.076888725,0.019014858,0.032886803,-0.014545858,0.09452069,-0.0024705678,-0.048081383,0.027256988,-0.028239585,-0.06303042
2024-01-18,0.085619815,0.029043846,0.05785077,0.010409474,0.08607946,-0.038882717,-0.052680507,-0.031227551,0.0021662172,-0.12864757
2024-01-19,0.11729833,0.043483995,0.044860125,0.020094752,0.0033756346,-0.115122065,0.037894785,-0.06391033,0.051040154,-0.090613924
2024-01-22,0.11202304,-0.023960628,0.010539025,0.034988195,0.081509784,0.009376481,-0.050476298,0.033971466,-0.005959194,-0.10658385
2024-01-23,0.110273845,0.06143727,0.14331281,-0.041520357,-0.0695643,-0.11432068,0.07540393,-0.054524787,0.056788478,-0.035409644
2024-01-24,0.1176677,0.12637764,0.10211298,-0.12934479,-0.0010925829,-0.021524027,0.047115438,-0.07310834,0.09247947,-0.039715663
2024-01-25,0.0685281,-0.010541044,-0.010174707,0.07988912,0.09641935,-0.0024576932,-0.04551223,0.002282313,-0.011019587,-0.11389972
2024-01-26,0.06328901,-0.001797609,0.1843366,-0.1608634,0.03952992,0.046558782,-0.058896348,0.04429365,-0.018983167,-0.06523367
2024-01-29,-0.016966328,0.051365577,0.15278742,0.029049695,0.028702319,-0.099089965,-0.044599667,-0.041378118,-0.02156048,-0.096794695
2024-01-30,0.0584744,0.021156281,0.06250359,0.08697131,0.04449916,0.0068699718,-0.039090633,0.0068471497,-0.009753465,-0.05616852
2024-01-31,0.08804969,0.0013576373,0.045940585,0.043177456,0.042448908,-0.043024108,0.02356717,-0.011095935,0.053455014,-0.08178199
2024-02-01,0.2340323,0.044266872,-0.05361376,0.009134144,-0.049036086,-0.0043631345,0.007715568,-0.005321362,0.03450223,-0.082280904
2024-02-02,0.13320383,0.053222664,0.000988014,0.09217021,0.050627917,0.015784398,-0.030720994,0.0026158309,0.004171837,-0.15683132
2024-02-05,0.02331011,0.1912047,0.108172506,0.0038509667,-0.0409763,-0.029944226,-0.074229255,-0.14027096,0.08813781,0.01709485
2024-02-06,0.1257715,-0.058466442,0.07670654,-0.02174446,0.02540727,-0.08150111,0.033974573,0.040794067,0.009471192,-0.13208927
2024-02-07,0.09397095,0.06348198,0.13417646,-0.09369737,-0.02560392,-0.1182902,0.10895992,-0.06630144,0.07813706,-0.0337376
2024-02-08,0.009451497,0.09372967,0.063013166,0.033555835,0.074013785,-0.040007874,-0.047381908,-0.080119975,0.039524294,-0.004666522
2024-02-09,0.037149563,-0.05812163,0.0118846,0.12383944,0.062321603,-0.08478935,0.01566726,-0.007998356,0.02161377,-0.105693914
2024-02-12,0.07948105,-0.06298,-0.022206701,0.14583325,0.08578552,-0.029667363,0.008004069,0.038027756,-0.0073762927,-0.13550873
2024-02-13,0.072418384,0.108988024,0.034386523,-0.08004835,-0.04656723,-0.032285005,0.026735201,-0.08822457,0.08859706,0.034275427
