date,aapl.us,adbe.us,amat.us,amd.us,amzn.us,googl.us,intc.us,meta.us,msft.us,mu.us
2010-07-29,0.001674369,0.0037470758,0.0015223324,0.0063642412,-0.0013266541,-0.0017178655,-0.0016575754,-0.0006249547,-0.0049550533,-0.0017753989
2010-07-30,0.006882742,-0.0011922419,0.0007035881,0.002040118,-0.0015085973,0.0014809519,-0.0034153014,0.0012377203,-0.004620075,-0.0027923211
2010-08-02,0.002701342,-0.00069379807,-0.00027643144,0.0053528026,-0.000142131,0.0016981661,-1.335144e-05,0.0015845299,-0.004066825,-0.0035471357
2010-08-03,-0.00017216057,-0.0028036833,-0.0030137748,0.0013849512,-0.004291836,-0.0043047816,-0.007481292,-0.0057803094,-0.011814974,-0.0051733777
2010-08-04,0.00030166656,0.0029092282,0.0004747659,0.005234942,-0.0014704801,-0.0021998286,-0.0004913658,-0.0010985136,-0.006366372,-0.0018322058
2010-08-05,-0.0035457835,-0.00071164966,-0.0029210001,0.00088057667,-0.0006388463,-0.0013289154,0.0024310201,0.0012781918,-0.011766672,0.00074646994
2010-08-06,-0.00084061176,0.0016827583,0.00046898425,0.003886558,-0.0013007261,-0.0014704913,-1.4051795e-05,-0.00036162138,-0.0072598234,0.0009881742
2010-08-09,0.00035408884,0.0018858463,-0.00056511164,0.0074379295,-0.0018190481,-0.0030864924,-0.004245475,-0.0025683641,-0.004483409,-0.004149895
2010-08-10,0.001431115,-0.0020264834,-0.0011156797,0.0023882762,-0.0019514896,-0.0006085634,-0.0027630776,-0.0010488331,-0.0072967485,-0.0025616772
2010-08-11,0.0014241934,0.0025650412,0.0011706948,0.004687801,-0.00092831627,0.0010246634,0.0049292,0.0036419928,-0.0068276897,-0.00060914084
2010-08-12,0.0032817498,0.0044219494,0.002789691,0.0077636093,-0.00135893,-0.00086820126,-0.0003926456,0.0024967194,-0.0026941672,0.001577545
2010-08-13,-0.002126485,0.0023619235,0.0011669248,0.0022415519,-0.0023068823,-0.002462387,-0.0007893443,-0.0020036995,-0.009274021,0.00044215098
2010-08-16,-0.00012660772,0.0003594011,0.00071921945,0.006202802,-0.0008308627,-0.0007852167,-0.0015189052,0.0019004941,-0.0045605004,-0.0016925782
2010-08-17,0.0004697591,0.0032253414,-0.001204893,0.0064596534,-0.0012678839,-0.0034344792,-0.00485985,-0.0054337084,-0.0032425448,-0.0021057576
2010-08-18,-0.0013064966,-0.001912728,-0.0025186986,0.0026046783,-0.002301339,-0.0030086637,-0.004000798,-0.003350526,-0.0096801,-0.005461756
2010-08-19,-0.0003241077,0.0016447157,-3.84748e-05,0.0046501607,-0.003379736,-0.0038297027,-0.0047787875,-0.004034102,-0.008508459,-0.0048741885
2010-08-20,-0.0022936538,0.0025501996,0.0025513917,0.009896383,0.00044473633,-0.0011200756,0.0006596297,0.0038339496,-0.0028324276,-0.0023247376
2010-08-23,0.00306312,0.00080657005,0.0011223406,0.0017622337,-0.0034475364,0.00010585785,-0.0029835254,-0.0023878813,-0.00849399,-0.002853267
2010-08-24,0.00023973733,0.00052292645,0.00040838122,0.0037384182,-0.001574222,-0.0030719936,-0.0027657896,0.0015772879,-0.00853876,0.0003494881
2010-08-25,0.004742384,0.0013232827,0.0024386346,0.003793314,-0.0021104552,0.0016092956,-0.0029535145,0.0017498434,-0.0048304275,-0.0018815361
2010-08-26,-0.002320692,0.0018602461,-0.00084516406,0.005574174,-0.0008155145,-0.004599169,-0.0042041093,-0.003982872,-0.0062033013,-0.0029208884
2010-08-27,0.0038031265,-0.00033532083,0.0011456013,0.004683323,-0.0006962158,0.0020684153,-0.0010211319,0.0018511713,-0.0040845796,-0.0018495396
2010-08-30,-0.00088810176,-0.0029297918,-0.002621621,0.002195567,-0.0009876229,-0.0016607791,-0.005133286,-0.0012098849,-0.007980265,-0.0029033273
2010-08-31,0.003994137,-0.0004374832,0.002745524,0.00397408,-0.0015003718,0.0018356293,-0.0009340793,0.0016500354,-0.0049968064,-0.002957601
2010-09-01,0.00014703721,0.0014206916,0.00046245754,0.0046601444,-0.0015187897,-0.0017139316,-0.001308158,0.0001269579,-0.007242888,-0.0032196715
2010-09-02,-0.0035078898,-0.0023433566,-0.0063318014,0.0017118156,-0.0032946803,-0.005517006,-0.0067521334,-0.007484585,-0.012768723,-0.008026153
2010-09-03,-0.0013764724,-0.0010667592,-0.0018802881,0.002343364,-0.0022970475,-0.0028615594,-0.004489392,-0.0022943318,-0.009267367,-0.00337971
